source,target
But he not be fixed that the man was a camera in his head and hi action was filmed .,But he not be fixed that the man had a camera on his head and his action was filmed .
He was furious because the American do n't understand what he would say .,He was furious because the American did n't understand what he said .
"The tourist was surprised to see a gun , the robber forced the man in the street and then the tourist put to run .",The tourist was surprised to see a gun . The robber forced the man onto the street and then the tourist put to run .
He was very lucky because the gunman returned to pick up his motorbike and keep his gun .,He was very lucky because the gunman returned to pick up his motorbike and keep his gun .
The man run to where his friends and sought a police .,The man ran to where his friends were and sought a police officer .
"They found a police near it and made the complaint , the group continued the bike ride and returned their hotel totally scared .",They found a police officer near it and made a complaint . The group continued the bike ride and returned to their hotel totally terrified .
After two days and with the help of the filming the gunman was captured and brought to justice .,"After two days and with the help of the filming , the gunman was captured and brought to justice ."
"Now he was arrested and charged before a magistrate for the robbery , waiting for his sentence .","Then he was arrested and charged with the robbery before a magistrate , and is waiting for his sentence ."
The tourists return to his country very scared .,The tourists returned to their country very scared .
How can I start ? should i start with speaking about myself or about my country or about my family or about my life ?,How should I start ? Should I start by speaking about myself or about my country or about my family or about my life ?
It is hard for an eastern girl to do what she likes because of her society 's traditions and customs .,It is hard for an eastern girl to do what she likes because of her society 's traditions and customs .
"Let 's take me as an example , I am a 25 years old girl who is graduated from faculty of engineering and want to travel to Germany to complete my study but I am not able to do this because my family will not allow me to travel alone .","Let 's take me as an example . I am a 25-year - old girl who graduated from the faculty of engineering and wants to travel to Germany to complete my studies , but I am not able to do this because my family will not allow me to travel alone ."
I am trying to change my family 's opinion so that I can travel .,I am trying to change my family 's opinion so that I can travel .
College is the only place where i feel I am special that is why i always like to there .,College is the only place where I feel I am special . That is why I always like to be there .
How we treat the earth has a direct impact on ourselves .,How we treat the earth has a direct impact on ourselves .
"Today , because of our progress of industry , we produced so many environmental problems that had n't appeared before .","Today , because of the progress of industry , we have caused so many environmental problems that did n't arise before ."
"For examples , lack of purity water , shortage of electricity , climate change , natural source depletion , and etc .","For example , lack of clean water , shortage of electricity , climate change , natural resource depletion , etc ."
"The problems were n't so significant that we overlooked them , but now they become serious threats that we ca n't ignore .","The problems were n't very significant so we overlooked them , but now they have become serious threats that we ca n't ignore ."
How can we solve these problems ?,How can we solve these problems ?
Just change your daily habits .,Just change your daily habits .
There are so many questions .,There are so many questions .
Who we are ?,Who are we ?
What do we do ?,What do we do ?
Why we make mistakes ?,Why do we make mistakes ?
There is no clear answer but the sure thing is we are humans .,There is no clear answer but the sure thing is we are humans .
"As a nature of human , we would make mistakes .","As a nature of human , we will make mistakes ."
But we should n't make same mistakes .,But we should n't make the same mistakes .
"If you wrong , I will fix you and if I wrong , please fix me .","If you are wrong , I will correct you and if I am wrong , please correct me ."
"Anyway , we would make mistakes , if we do the new challenges and new tasks .","Anyway , we will make mistakes if we do the new challenges and new tasks ."
We have to fix it all again .,We have to fix it all again .
Introducion :,Introducion :
"The aim of this report , is to show how does my town takes care of the environment .","The aim of this report , is to show how my town takes care of the environment ."
Home rubbish :,Household rubbish :
"The mayor , in collaboration with Lipor , distributed leaflets with information on "" How to deal with household rubbish "" .Each leaflet explains how to separate the home rubbish .","The mayor , in collaboration with Lipor , distributed leaflets with information on "" How to deal with household rubbish "" . Each leaflet explains how to separate the household rubbish ."
"Instead of putting the rubbish in one trashcan , the families should separate it in three different groups - papers , glasses and plastics - and put it into the correct eco point .","Instead of putting the rubbish in one trashcan , the families should separate it into three different groups - paper , glass and plastics - and put it into the correct eco point ."
"The company responsible for rubbish collection collects of the garbage , already separated by the families , and afterwards does the recicling .","The company responsible for rubbish collection collects the garbage , already separated by the families , and afterwards does the recycling ."
How does the town treats the environment :,How the town treats the environment :
The City Hall is very concerned in keeping the area cleaned .,The City Hall is very concerned about keeping the area clean .
"In spite of the informative sessions about the enviorenment , organized by the Mayor for all of the residentes , it also has lots of staff that cleans the streets , take care of the city gardens and collect the garbage .","As well as the informative sessions about the environment organized by the Mayor for all of the residents , it also has lots of staff that clean the streets , take care of the city gardens and collect the garbage ."
Eco friendly :,Eco - friendly :
"In conclusion , I would like to say that the city where I live maintaines the city cleaned and attractive , for people that live there and for those who visit the city .","In conclusion , I would like to say that the city where I live keeps the city clean and attractive , for people that live there and for those who visit the city ."
"I do believe that the members of my family are my best friends for many reasons.first of all , we got the same education as we grew together we know each other .","I do believe that the members of my family are my best friends for many reasons . First of all , we had the same education as we grew up together , so we know each other ."
If I suffer from any problem the first step I do is I try to go back to my lovely sister because deep inside I know she is only member that can assist me .,"If I suffer from any problem , the first step I take is I try to go back to my lovely sister because , deep inside , I know she is the only family member that can help me ."
"Secondly , if I need money I will come back to my brother or sister I ask them to borrow some money .","Secondly , if I need money , I will go back to my brother or sister . I ask them to lend me some money ."
I think public transport has good prospect in the future according on following reasons .,I think public transport has good prospects for the future for the following reasons .
"First , the trend of environmentally friendly has grown since the shortage awareness of fuel , taking public transport can decrease the air pollution by car , and more governments had build the public transport system including subway , buses etc .","First , the trend of environmentally friendliness has grown since the shortage awareness of fuel , taking public transport can decrease the air pollution created by cars , and more governments have built public transport systems , including subways , buses etc ."
The transport in the city is n't inconvenient as years ago .,Transport in the city is n't inconvenient as it was years ago .
"The other is , travelling by car is n't convenient if you go to the famous resorts , most famous resorts lack of parking lots , travelers may spend hours to park .","The other reason is , travelling by car is n't convenient if you go to the famous resorts . Most famous resorts lack parking lots , travelers may spend hours trying to park ."
"On the contary , people who take the public transport can more enjoy the travel because they do n't waste vitality on driving .","In contrast , people who take public transport can enjoy the journey more because they do n't waste energy on driving ."
"To summarize , because the development of public transport is more and more complete , the advantage of travelling by car was placed by public transport gradually , the future of the public transport is bright .","To summarize , because the development of public transport is more and more complete , the advantages of travelling by car have been replaced gradually by public transport . The future of public transport is bright ."
It gives me many a positive energy and fun .,It gives me a lot of positive energy and fun .
I have played for 12 years .,I have played for 12 years .
I am not a professional player .,I am not a professional player .
I play just for yourself,I play just for myself .
Sometimes If I would like to play football but it rains I can watch football on television .,"Sometimes if If I would like to play football but it raining , rains I can watch football on television ."
If I play with my best friends at football I will be a goalkeeper .,"If I play football with my best friends , I am a goalkeeper ."
In football my favourite position is goalkeeper .,"In football , my favourite position is goalkeeper ."
It is really hard to give some advice .,It is really hard to give some advice .
We have to be very patient .,We have to be very patient .
My advice is only one .,I have only one piece of advice .
If you practise you will achieve skills .,If you practise you will achieve skills .
"In Somalia , people usually throw the rubbish and garbage in everywhere , and there is no a cycle which intended to keep it .","In Somalia , people usually throw the rubbish and garbage everywhere , and there is no a cycle which is intended to keep it ."
"The city council are tackling with how they can keep the city clean , and each and every morning there are employees whose work are to collect and keep the environment clean .","The city council are dealing with how they can keep the city clean , and each and every morning there are employees whose job is to collect rubbish and keep the environment clean ."
Many of the main roads of Mogadishu are getting attractive by the day and the people begun to make their city clean .,Many of the main roads of Mogadishu are getting more attractive by the day and the people have begun to make their city clean .
"Swimming is my favorite sport , I usually swim 2 or 3 time a week , swimming is a good sport especially in summer .","Swimming is my favorite sport , I usually swim 2 or 3 times a week . Swimming is a good sport , especially in summer ."
Study says the cool water will cool the body temperature down and that means it will burn the body fat fast then the other sport .,Studies say the cool water will cool the body temperature down and that means it will burn the body fat faster than the other sports .
The other advantage of the swim is the less impact the knee .,The other advantage of swimming is the fact that there is less impact on the knees .
Swimming will be the good exercise to the people who are not able to jog or even walk .,Swimming will be a good exercise for people who are not able to jog or even walk .
"By the way , some people do n't like to swim because they have difficulty finding the swimming pool , I think that just an excuse to be lazy , the Internet will help you to find out .Lets go to swim .","By the way , some people do n't like to swim because they have difficulty finding a swimming pool . I think that is just an excuse to be lazy . The Internet will help you to find one . Let 's go swimming ."
FOOTBALL_MY FAVORITE SPORT,FOOTBALL - MY FAVORITE SPORT
"Nowadays , there are many choices to spend in our free time such as go shopping , travelling , listen to music , reading , etc ..","Nowadays , there are many choices for spending our free time , such as going shopping , travelling , listening to music , reading , etc .."
"But to me , I choose playing sport in my free time .","But for me , I choose playing sport in my free time ."
"Football - the most popular sport in the world , is well - known as "" King Sport "" .","Football - the most popular sport in the world , is well - known as "" King Sport "" ."
"There are two teams and each team has the same amount of players : maybe 6 , maybe 7 and maximum 11 .","There are two teams and each team has the same number of players : maybe 6 , maybe 7 and maximum 11 ."
The objective of the game is to score by kicking the ball into the opposing goal .,The objective of the game is to score by kicking the ball into the opposing goal .
"Actually , I began to play football when I was 10 years old .","Actually , I began to play football when I was 10 years old ."
I play football in my free time until now .,I have been playing football in my free time until now .
There are many reasons why I enjoy football .,There are many reasons why I enjoy football .
"My first idea , football make us stay in shape , avoid some diseases .",My first reason : football makes us stay in shape and avoid some diseases .
"A second idea , It helps us make new friends when I take part in some football team .",A second reason : it helps me make new friends when I join a football team .
I have relationship with people who are playing football with me .,I have relationships with people who play football with me .
They not only help me in every match but also share me everything in daily life .,"They not only help me in every match , but also share everything with me in daily life ."
"A finally idea , football makes us enjoy our life and increase quality of life so far after working hours .",A final reason : football makes us enjoy our life and improves the quality of life so far after working hours .
"Eating a balanced diet is something very important for anyone especially for pregnant women , children and old people as their bodies need more nutrition than younger people .","Eating a balanced diet is very important for everyone , especially for pregnant women , children and old people as their bodies need more nutrition than younger people ."
"Although balanced diet will offer energy and vitality but that 's not all of the thing , Exercising is important too in addition to the balanced diet .","Although a balanced diet will offer energy and vitality but that 's not all . Exercising is important too , in addition to a balanced diet ."
My favourit sport is football i love it so much when i was young i used to watch football and my favorite team is Barcelona i was play with my friends at the street and we was happy with that so much and after that we played at playground like really football i love Cristiano Ronaldo so much he is the best player at the world a few people telling me that messi is the best player but i feel angry when i hear that because that is not true so i looking forward to meet my best player one day its like a dream to me .,"My favourite sport is football I i love it so much . When I was young I i used to watch football and my favorite team is Barcelona I i used to play with my friends in the street and we were so happy doing that , and after that , we played on a football pitch like real really football I i love Cristiano Ronaldo so much . He is the best player in the world . A few people have told me that Messi is the best player , but I feel angry when I hear that , because that is not true . So I am looking forward to meeting my favourite player one day It 's its like a dream for me ."
I think the alcohol is the most dangerous addiction all around the world .,I think alcohol is the most dangerous addictive substance in the world .
"Because many people have died for this , and it 's really hard to stop this addiction even if the person wants to stop it .","Because many people have died because of this , and it 's really hard to stop this addiction , even if the person wants to stop it ."
my favorite sport is swimming,My favorite sport is swimming .
i swim 2 times per a week,I swim twice per week .
"sometimes i go to the swimming pool in the same area which i work there and sometimes i go to the swimming pool of my cousin ,",Sometimes I go to the swimming pool in the same area where I work and sometimes I go to my cousin 's swimming pool .
i enjoy when i spend my time in the water and now even i am pregnant i am afraid when i swim with a group of people i keep telling them and screaming do not close with me ! ! !,I enjoy it when I spend time in the water and now that I am pregnant I am afraid when I swim with a group of people I i keep telling them and screaming do not come close to me ! ! !
hhhh sometimes is funny,"hhhh Sometimes it is funny ,"
"but my husband he takes cars of me he does n't allow to anyone to be much closer with me ,",but my husband takes care of me . He does n't allow anyone to be much closer to me .
my mother in law she likes swimming too,my mother - in - law likes swimming too .
last night we went to the swimming pool it was a little bit cold but we liked so we went to the pool and srated to swimming i know how to swim very well but she does n't she has to have a support otherwise she ca nt .,"last night we went to the swimming pool . It was a little bit cold , but we liked it so we went to the pool and started swimming I i know how to swim very well , but she does n't , she has to have a support otherwise she ca n't swim ."
"to : Emma Brown@ ........... co.ukDate : Thu Nov 26 , 2015 05:10:07 Europe\SeklerlandSubject : RestaurantHello Emma .","to : Emma Brown@ ........... co.ukDate : Thu Nov 26 , 2015 05:10:07 Europe\SeklerlandSubject : RestaurantHello Emma ."
When I read your e - mail I was very surprised about it .,When I read your e - mail I was very surprised about it .
"Well , I think it is really creative .","Well , I think it is really creative ."
"If you want to visit me you have to do it in the next month because I have a football tournament , and I must participiate .","If you want to visit me , you have to do it in the next month because I have a football tournament , and I must participate ."
"So what about next month , 12th of December?I would like to suggest a dish named "" Bloody Liver "" .","So what about next month , 12th of December ? I would like to suggest a dish named "" Bloody Liver "" ."
"It could be strange for the others , but it is really delicious if served with corn .","It could be strange for others , but it is really delicious if served with corn ."
"If you want to visit a restaurant , I would suggest the Dagi .","If you want to visit a restaurant , I would suggest the Dagi ."
"It is a bit far from my home , behind the fuel station once we left your car .","It is a bit far from my home , behind the petrol station we once we left your car ."
"To answer your question , I can not attend the party beacuse I do not like theese kind of parties , but I wish you good luck!Almos","To answer your question , I can not attend the party because I do not like those kinds of parties , but I wish you good luck ! Almos"
We the management of The Arch London Hotel received your mail and wishes to let you know that you should make known to us the position you desired to work in via return mail along with a scan copy of your signed contract of agreement to enable us make every necessary corrections .,"We , the management of The Arch London Hotel , received your email and wish to let you know that you should make known to us the position you desire to work in via return email along with a scanned copy of your signed contract of agreement to enable us to make all the necessary corrections ."
"When it comes to public transport , the future is relatively dark according to the prospection .","When it comes to public transport , the future is relatively dark according to the prospection ."
Indeed all the indicators show that humain behavior will not change at least in the following decades .,"Indeed , all the indicators show that human behavior will not change , at least in the coming decades ."
Car continues to attract people .,The car continues to attract people .
"In the other hand , Governments are not able to change transportation policies to enhance public transport level of service .","On the other hand , governments are not able to change transportation policies to enhance public transport 's level of service ."
Malaga is a town that takes care of the environment .,Malaga is a town that takes care of the environment .
"Around the city , there are a lot of containers for rubbish , pieces , plastic and crystal .","Around the city , there are a lot of containers for rubbish , pieces , plastic and crystal ."
All people has very close someone to recycle .,All people has very close someone to recycle .
"Also , you can put clothes and shoes that you do n't need it for Africa children .","Also , you can put clothes and shoes that you do n't need for African children ."
"So , Malaga is responsible with the environment and with people with more necessities .","So , Malaga is responsible towards the environment and towards people in need ."
"Secondly , in Malaga there are strong and hard rules for factories .","Secondly , in Malaga there are strict and hard rules for factories ."
These companies must take care of the environment or they would have to pay big tax at the council .,These companies must take care of the environment or they will have to pay a big fine to the council .
"So , in general , I think Malaga is very responsible with the environment and acts in consequence .","So , in general , I think Malaga is very responsible towards the environment and acts appropriately ."
"The way of livng change everyday : if we think about our grandparents ' , but also about our parents ' life , we notice many differences .","The way of living changes every day : if we think about our grandparents ' , but also about our parents ' lives , we notice many differences ."
Above all they talked more : we live in the era of the telecomunication and none could live without their mobile phone or their computer .,"Above all , they talked more . We live in the era of telecommunication and no one could live without their mobile phone or their computer ."
Be always in contact with our friends has become our way of living .,Being always in contact with our friends has become our way of living .
"Moreover also simple things are changed , for example the food we eat : some times ago everythingh was natural , healthy ... but now everyone eat always "" junk food "" and thinghs like that , which are completely unhealthy !","Moreover , also , simple things have changed . For example , the food we eat . Some time ago everything everythingh was natural , healthy ... but now everyone always eats "" junk food "" and things like that , which are completely unhealthy !"
"However , How will people 's life change in the next 50 years ?","However , how will people 's lives change in the next 50 years ?"
"As a result of what I have just said , in my opinion people wo n't have a "" really life "" : everyone will be always more involved in the virtual life so that they will forget how to talk each other and how express own feelings !","As a result of what I have just said , in my opinion , people wo n't have a "" real life "" . Everyone will always be more involved in virtual life , so that they will forget how to talk to each other and how to express their own feelings !"
"About the foods , I imagine a future society in which restaurant wo n't exist : people will eat only junk foods and food , which has been prepared before , food in tin ... so all unhealthy thinghs , which will cause many problems .","About food , I imagine a future society in which restaurants wo n't exist . People will eat only junk food and food which has been prepared before , food in tins ... so all unhealthy things , which will cause many problems ."
For this reason I also imagine that in the future doctors and scientists will have so much to do !,"For this reason , I also imagine that in the future doctors and scientists will have too much to do !"
"Do not ruin our life , it could be all so perfect !",Do not ruin our life . It could all be so perfect !
My favourite sport is soccer .,My favourite sport is soccer .
"Also , we can learn to help each other in the team .","Also , we can learn to help each other in the team ."
My favourite trick is nutmeg .,My favourite trick is nutmeg .
My favourite soccer player is Frank Lampard .,My favourite soccer player is Frank Lampard .
My favourite team is Chelsea FC .,My favourite team is Chelsea FC .
My favourite soccer pitch is Hong Kong Stadium .,My favourite soccer pitch is Hong Kong Stadium .
My favourite soccer is the Brazuca .,My favourite soccer is the Brazuca .
I started soccer when I was four .,I started playing soccer when I was four .
I often play soccer with my father and my brother .,I often play soccer with my father and my brother .
"When it is holiday , my brother and I play soccer twice a week .","When it is holidays holiday , my brother and I play soccer twice a week ."
It is really good to play soccer !,It is really good to play soccer !
Everyone is afraid of something .,Everyone is afraid of something .
A lot of people are afraid of catastrophic events even thought it 's very improbable that the same thing will happen to us .,A lot of people are afraid of catastrophic events even thought it 's very improbable that the same thing will happen to us .
"Some fear are instinctive and it 's positive because it protect us from real danger , it 's a good response .","Some fears are instinctive and it 's positive because it protects us from real danger , it 's a good response ."
"But the phobias are which we experience that are life - threatening and they can distrupt everyday life , but people can get over with the right sort of therapy .","But phobias are fears which we experience that are life - threatening and they can disrupt everyday life , but people can get over them with the right sort of therapy ."
"So if we want to live a life which is n't controlled by our fears , we must try to be more objective and pay mre attention to the real dangers .","So if we want to live a life which is n't controlled by our fears , we must try to be more objective and pay more attention to real dangers ."
We should spend less time worrying and more time being happy !,We should spend less time worrying and more time being happy !
"In 1898 , H.G. Wells wrote his story ( the war of the worlds ) , so it was inevitable ; people began to see space creatures everywhere .","In 1898 , H.G. Wells wrote his story "" The War of the Worlds "" , so it was inevitable . People began to see space creatures everywhere ."
Science fiction magazines and stories spread .,Science fiction magazines and stories spread .
And the flying saucers ' culture has dominated . They will be green in color .,And the flying saucers culture has dominated . They will be green in color .
"They will have three eyes , antennas over their heads , and guns firing green extraction .","They will have three eyes , antennae on their heads , and guns firing green extraction ."
"They want to occupy the planet Earth because , according to them , our resources are still virgin ..","They want to occupy the planet Earth because , according to them , our resources are still virgin .."
"Alison read the note , smiled , and immediatly put on her coat .","Alison read the note , smiled , and immediately put on her coat ."
"Alison put on her coat , close the door and went to his parents house by car .","Alison put on her coat , closed the door and went to her parents ' house by car ."
She went to his parents house because they sent her an email that said that his father is okay after the oparation .,She went to her parents ' house because they sent her an email that said that her father was okay after the operation .
"When alison knock on his parents door she noticed that there were many people in her parents house , a man open the front door .","When Alison knocked on her parents ' door she noticed that there were many people in her parents ' house , a man opened the front door ."
"When she entered the house , a man was looking at her with a bad face , when suddenly this man shot with a gun to Alison father .","When she entered the house , a man was looking at her with a bad face , when suddenly this man shot Alison 's father with a gun ."
"Alison left the house very scared , it was a dream .",Alison left the house very scared ; it was a dream .
"Nowadays , public transport is used for many people in the cities , we can find different types of them , such as bus","Nowadays , public transport is used by many people in the cities . We can find different types of public transport , such as bus ,"
"tube and train , but is there a future for it or not ? , I am going to respond this question giving disadvantanges and advantages and finally I give my personal opinion .","tube and train , but is there a future for them or not ? I am going to answer this question discussing giving disadvantages and advantages and , finally , I will give my personal opinion ."
"To begin with , Public transports is not as comfortable as using our own vehicle , every day , about all in the morning , it is usually crowded , due to people than begin to work .","To begin with , public transport is not as convenient as using our own vehicle . Every day , above all in the morning , it is usually crowded , due to people going to work ."
"Secondly , moving in a city in public transport could be horrible , there are too many station , and we spend a lot of time on them until we arrived at home .","Secondly , getting around in a city on public transport can be horrible . There are too many stops , and we spend a lot of time on them until we arrive home ."
"Although I have written some disadvantages , public transport is better than private .","Although I have written some disadvantages , public transport is better than private transport ."
"Firstly , if anyone want to move in the city using the car , that could be very expensive , due to traffic jam .","Firstly , if someone wants to move in the city using a car , that can be very expensive due to traffic jams ."
"Secondly , Public transport is more ecological and less polluted with the enviromment , so as it is producing less polluted fume , and many of them use green energy , such as electricity or gas .","Secondly , public transport is more ecological and less polluting for the environment , because it produces less polluting emissions , and many public vehicles use green energy , such as electricity or gas ."
"In conclusion , from my point of view , public transport is more necessary now than never before , cities contains more automoviles and the pollution is worse , we need to change our mind , and try to use them as other alternative to improve the enviromment of our cities .","In conclusion , from my point of view , public transport is more necessary now than ever before . Cities contain more automobiles and the pollution is worse .We need to change our way of thinking , and try to use public transport as an alternative to improve the environment of our cities ."
"Last week , my class and I went to Sicily for a schooltrip .","Last week , my class and I went to Sicily on a school trip ."
we visited many cities .,We visited many cities .
"the first day we went to Taormina and Giardini Naxos , the day after we visited Siracusa , the third day Agrigento and The valley of the temples and the last day we saw Marsala and Trapani .","On the first day , we went to Taormina and Giardini Naxos . The day after , we visited Siracusa . On the third day , Agrigento and The Valley of the Temples , and on the last day we visited Marsala and Trapani ."
I enjoyed all the cities we saw but the best in my opinion is Siracusa . in particoular I liked Ortigia that is the oldest part of the city .,"I enjoyed all the cities we visited but the best , in my opinion was is Siracusa . In particular , I liked Ortigia which that is the oldest part of the city ."
I also liked the Valley of the temples of Agrigento so much : it was amazing .,I also liked The Valley of the Temples of Agrigento so much : it was amazing !
I think that the worst thing of the trip is that the last night in our room there were a lot of insects and some spiders and we must change Room .,I think that the worst thing about the trip was that on the last night in our room there were a lot of insects and some spiders and we had to change rooms .
public transport now a days has become a bit uncomfortable because we can not think of availability of seat .,Public transport nowadays has become a bit uncomfortable because we can not think of availability of seat .
large number of people use it which results in over - loaded buses and trains .,"A large number of people use it , which results in over - loaded buses and trains ."
it take too much time to travel by public transport than by personal vehicle.there is scarcity of buses in public transport and there timings too are not fixed .,It takes more time to travel by public transport than by personal vehicle . There is a scarcity of buses and the timings too are not fixed .
traveling by car or any other personal vehicle is too much more convenient because it takes too much less time and it takes us directly to the place where we want to go .,Traveling by car or any other personal vehicle is much more convenient because it takes much less time and it takes us directly to the place where we want to go .
"In a recent time privet transport is more convenient than public transportation , although public transport like buses , train , ferries and intercity rail are consuming less time and energy but sometimes its create problems .","These days private privet transport is more convenient than public transportation . Although public transport like buses , trains , ferries and intercity rail take less time and energy but sometimes it creates problems ."
"In public transport people bound to share transport means with strangers and also we have to persue company policy or regulations , but with their own transport we do n't have to bother about these things we travel when we want and when we have time .","On public transport , people obliged bound to share transport with strangers and we also have to follow company policy or regulations , but with our own transport , we do n't have to bother about these things . We travel when we want and when we have time ."
We do n't have to book tickets in private transport .,We do n't have to book tickets for private transport .
So we can say that travelling in their own transportation is more comfortable .,So we can say that travelling in our own transportation is more convenient .
People had drived car to go a work .,People drive cars to go a work .
The city have a lot traffic .,The city has a lot of traffic .
They prefer to go work car than bus .,They prefer to go to work by car rather than by bus .
Public transport is very cheap then car and reduce traffic in the city .,Public transport is much cheaper than cars and reduces traffic in the city .
"It 's true drive by car is so much more convenient , because people do n't need to wait bus .","It 's true driving a car is so much more convenient , because people do n't need to wait for a bus ."
"They can drive any hour , they can to go and to come any moment .","They can drive at any time , they can come and go at any time ."
"They can travel another place , independent the hour .",They can travel to another place irrespective of the time .
"Bus , boat and train are public transport most used for people .","Buses , boats and trains are the public transport that are most used by people ."
"Some cities there are n't boat , because do n't have river or sea .","In some cities there are n't boats , because they do n't have a river or the sea ."
It 's comum in city the bus .,Buses are common in the city .
Some bus have special and preferencial sit to old people .,Some buses have special and preferential seats for old people .
This is interesting because people are practice solidary .,This is interesting because people practise solidarity .
I think could have a lot bus in city .,I think should could have a lot buses bus in the city .
Many car is poluent for planet and is alergic to people .,Many cars pollute the planet and people are allergic to the pollution .
The train do n't have poluition .,The train does n't cause pollution .
This transport is better to population and do n't have traffic in city .,This mode of transport is better for the population and means that we do n't have traffic in the city .
Another idea is ride a bicycle and to walk street .,Another idea is riding a bicycle and walking .
This can help heauthy the people and city will stay most clean .,This can help heauthy the people and the city will be cleaner .
So we must reduce by car on street .,So we must reduce cars on roads street .
We will be very happy and we .,We will be very happy and we
will be more heauthy .,will be more healthy .
"My favourite sports walk , I really like this sport for several reasons :",My favourite sport is walking . I really like this sport for several reasons :
1- It 's very common I can do it anywhere and anytime I want .,1- It 's very common . I can do it anywhere and anytime I want .
"2- It 's very cheap , I will not buy anything to do .",2- It 's very cheap . I do not need to buy anything to do it .
"3- It 's not hard sport , in all cases I will not be tired after walking .",3- It 's not a hard sport . In all cases I will not be tired after walking .
4- It makes me relax because I stop doing my activity from work and study .,4- It makes me relax because I stop doing my activity from work and studying .
5- It gives me big time to think on all my life without any distributions from anybody .,5- It gives me lot of big time to think about all my life without any disturbance from anybody .
cause all these reasons walking is my favourite sport .,"For all these reasons , walking is my favourite sport ."
"From few years , people use different types of transport . We ride by bus or by car .","From few years , people use different types of transport . We ride by bus or by car ."
We fly at plane or something other .,We fly by plane or something else .
The travelling by car is more convenient in my opinion .,Travelling by car is more convenient in my opinion .
"Firstly , you save money if you use a car .","First , you save money if you use a car ."
"When you ride by bus , you pay more .","When you travel by bus , you pay more ."
Moreover you travel with the other people .,"Moreover , you travel with other people ."
You stay in queue for buy a ticket .,You stand in a queue to buy a ticket .
"Secondly , you should feel uncomfortable .","Secondly , you might feel uncomfortable ."
At some means of transport is too crowded and you haven ' t got a place to stay .,On some means of transport it is too crowded and you haven ' t got a place to stand .
sometimes you lie on a window .,Sometimes you lean against a window .
It is n't good .,It is n't good .
"Finally , if you ride a car you musnt care about timetable . You can go at every hour .","Finally , if you drive a car , you do n't have to worry about a timetable . You can go at any time ."
"When you go by bus for example , you must wait at cold bus station .","When you go by bus , for example , you must wait at a cold bus stop ."
I hate this .,I hate that .
"At sum up , in my opinion travelling by car is better .","To sum up , in my opinion , travelling by car is better ."
"You have comfort , you feel better .","You have comfort , you feel better ."
You do n't have to worry that you do n't arrive in time .,You do n't have to worry that you wo n't arrive on time .
"Unfortunately , is very sad to say that people in my town does not care about the environment .","Unfortunately , it is very sad to say that people in my town do not care about the environment ."
We need to start doing something to avoid contamination .,We need to start doing something to avoid pollution .
There are so many little things we could do to care for the environment .,There are so many little things we could do to care for the environment .
"So many storms , and all the things happening around the world are the result of not taking care of the only planet we have to live .",So many storms and all the things happening around the world are the result of not taking care of the only planet we have to live on .
"I suppose their lifstile intolerable , resteless and I really sympothise with them Magotity of outstanding and appreciated people are frustrated .","I suppose their lifestyle is intolerable , resteless and I really sympathise with them The majority Magotity of outstanding and appreciated people are frustrated ."
They turn into arrogant and furious idols because of shortage of ptivate lifetime perpetual attention .,They turn into arrogant and furious idols because of lack shortage of private life and perpetual attention .
That is a pitiless trial for celebrities bit through thick and thin they go on .They archieve the goals made exceptionally in sake of money and vanity .,"That is a pitiless trial for celebrities but , through thick and thin , they go on .They achieve the goals made exceptionally for the sake of money and vanity ."
I realised it is not worth it .,I realised it is not worth it .
Thank you for your care .,Thank you for your attention .
There is one thing confuse me that is the old extension number .,"There is one thing confuses confuse me and , that is the old extension number ."
I always answer some wrong calls and these calls distract me .,"I am always answering wrong calls , and these calls distract me ."
I receive many calls looking for the previous worker and I need to spend my time to explain what happened to him .,I receive a lot of calls looking for the previous employee and I have to spend my time explaining what happened to him .
May I have a new extension number ?,May I have a new extension number ?
Thanks for your help .,Thanks for your help .
Romania is a beautiful country and has many jobs .,Romania is a beautiful country and has many jobs .
"Also there are many places to see , mountains , lakes where you can relax and have fun .","Also , there are many places to see , mountains and lakes where you can relax and have fun ."
The jobs are nice and you can work for three months .,The jobs are nice and you can work for three months .
There is good pay also .,There is good pay also .
I also work in summer as a waitress in a terrace .,I also work in the summer as a waitress in a terrace .
It is good and people are nice .,It is good and people are nice .
I hope you are well .,I hope you are well .
"I 'm writing you a letter because I was made a short film with my friends , and I want to tell you what is the film about and how was the experience .","I 'm writing you a letter because I have made a short film with my friends , and I want to tell you what the film is about and what the experience was like ."
The idea of make a film comes up a Saturday night at a meeting of friends .,The idea of making a film came up on a Saturday night at a meeting of friends .
"At first we thought that the idea was just a joke , but Jake , one of my friends , said that he had carried a video camera .","At first we thought that the idea was just a joke , but Jake , one of my friends , said that he had brought a video camera ."
"When Jake said that , we start roar with laughter , but then , another friend offered the idea to do a home film .","When Jake said that , we started to roar with laughter , but then , another friend suggested the idea of making a home movie ."
